"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2309-NODE/6907522588","","Touilaa 2","35.578935","-5.363813","","","0","","","","0","",""
"2309-NODE/8196766610","","Souk Lakdim","35.620942","-5.495824","","","0","","","","0","",""
"2309-NODE/8241076241","","Casablanca 1","35.566336","-5.360124","","","0","","","","0","",""
"2309-NODE/8196766612","","Kmis Anjra","35.664399","-5.510764","","","0","","","","0","",""
"2309-NODE/8196161706","","Casablanca 2","35.565278","-5.356494","","","0","","","","0","",""
"2309-NODE/8196161709","","Coelma","35.565129","-5.345068","","","0","","","","0","",""
"2309-NODE/8196161708","","Grt Coelma","35.56488","-5.347425","","","0","","","","0","",""
"2309-NODE/6907522587","","Mohamed Al Kharaz 1","35.57834","-5.361319","","","0","","","","0","",""
"2309-NODE/6898503462","","Lafarge","35.597237","-5.430764","","","0","","","","0","",""
"2309-NODE/4066473836","","Al Mina","35.787674","-5.353489","","","0","","","","0","",""
"2309-NODE/1872002247","","Marina","35.75474","-5.347181","","","0","","","","0","",""
"2309-NODE/8191355103","","Hopital Civil","35.572543","-5.355339","","","0","","","","0","",""
"2309-NODE/6898280186","","Marché De Gros","35.56557","-5.398466","","","0","","","","0","",""
"2309-NODE/8191355104","","Mosquée Al Oumma","35.573063","-5.35344","","","0","","","","0","",""
"2309-NODE/8191355107","","Pharmacie Afassi","35.578953","-5.349241","","","0","","","","0","",""
"2309-NODE/8191355106","","Résidence El Manar","35.577955","-5.350742","","","0","","","","0","",""
"2309-NODE/8191355109","","Supermarché Taw","35.580137","-5.345096","","","0","","","","0","",""
"2309-NODE/8191355108","","Etablissement Tofola","35.579859","-5.346515","","","0","","","","0","",""
"2309-NODE/8197188237","","Kharrouba","35.55395","-5.354991","","","0","","","","0","",""
"2309-NODE/8197188236","","Ettoub","35.556994","-5.352396","","","0","","","","0","",""
"2309-NODE/4613785689","","Souk Al Imam Malik","35.570126","-5.387292","","","0","","","","0","",""
"2309-NODE/8171441785","","Malik Ibn Dirar - Mosquée","35.571474","-5.421014","","","0","","","","0","",""
"2309-NODE/8171441784","","Ghniwat","35.650002","-5.320593","","","0","","","","0","",""
"2309-NODE/8171441781","","Bni Khanous 2","35.572841","-5.401187","","","0","","","","0","",""
"2309-NODE/8171441780","","Bni Khanous 1","35.571261","-5.40013","","","0","","","","0","",""
"2309-NODE/6899234168","","Pharmacie Rkaina","35.557216","-5.383532","","","0","","","","0","",""
"2309-NODE/8171441782","","Colinord","35.655375","-5.319148","","","0","","","","0","",""
"2309-NODE/8197637225","","Terrain Saniat Rmel","35.574001","-5.348838","","","0","","","","0","",""
"2309-NODE/8197637227","","Nada","35.57668","-5.3409","","","0","","","","0","",""
"2309-NODE/8197637226","","Cnss","35.57481","-5.345114","","","0","","","","0","",""
"2309-NODE/6897145480","","Mosquée Al Oumma","35.572956","-5.35345","","","0","","","","0","",""
"2309-NODE/8196133395","","R'Milat","35.620744","-5.329353","","","0","","","","0","",""
"2309-NODE/8196133394","","Koudia","35.613488","-5.332836","","","0","","","","0","",""
"2309-NODE/8196133396","","Rp El Mallalienne","35.624778","-5.327619","","","0","","","","0","",""
"2309-NODE/8196133393","","Setine 60","35.6079","-5.334637","","","0","","","","0","",""
"2309-NODE/8196133392","","Marjane","35.602808","-5.336288","","","0","","","","0","",""
"2309-NODE/4613737094","","Jardin Chellal","35.567884","-5.373598","","","0","","","","0","",""
"2309-NODE/8197188239","","Beni Salah","35.550705","-5.36077","","","0","","","","0","",""
"2309-NODE/8197188238","","Jamaat Zitoune","35.553034","-5.36002","","","0","","","","0","",""
"2309-NODE/8197425156","","Krouche","35.338763","-5.363328","","","0","","","","0","",""
"2309-NODE/6906735221","","Barrage","35.563297","-5.489985","","","0","","","","0","",""
"2309-NODE/8171441718","","Teffaline","35.582317","-5.364196","","","0","","","","0","",""
"2309-NODE/8197425155","","Halhala","35.346769","-5.367269","","","0","","","","0","",""
"2309-NODE/8197425152","","Koades","35.37764","-5.374433","","","0","","","","0","",""
"2309-NODE/8197425153","","Berraka","35.367732","-5.373404","","","0","","","","0","",""
"2309-NODE/8197425150","","Mrija","35.409021","-5.37935","","","0","","","","0","",""
"2309-NODE/8197425151","","Beni Moussa","35.388496","-5.373182","","","0","","","","0","",""
"2309-NODE/8171441717","","Moulay Abdessalam","35.4602","-5.404593","","","0","","","","0","",""
"2309-NODE/8197425158","","Beni Hassan","35.318981","-5.356811","","","0","","","","0","",""
"2309-NODE/8197188235","","Mosquée Boujdad","35.559524","-5.350065","","","0","","","","0","",""
"2309-NODE/8197563720","","Fnideq","35.841411","-5.355107","","","0","","","","0","",""
"2309-NODE/8197477241","","Gorna","35.676786","-5.321549","","","0","","","","0","",""
"2309-NODE/8197477240","","Krouche","35.666808","-5.318495","","","0","","","","0","",""
"2309-NODE/8197477243","","M'Diq","35.685441","-5.322959","","","0","","","","0","",""
"2309-NODE/8197477242","","El Marssa","35.682764","-5.320919","","","0","","","","0","",""
"2309-NODE/6903919029","","Ain Dar Zkiek","35.549852","-5.397175","","","0","","","","0","",""
"2309-NODE/6903919028","","Taboula","35.565163","-5.401229","","","0","","","","0","",""
"2309-NODE/6907472790","","Hjar Laaroussa","35.603206","-5.341488","","","0","","","","0","",""
"2309-NODE/6907472792","","Mohamed Smaili","35.597047","-5.34341","","","0","","","","0","",""
"2309-NODE/6903993072","","Cinéma Victoria","35.574385","-5.386553","","","0","","","","0","",""
"2309-NODE/8197637229","","9 Avril","35.583004","-5.333021","","","0","","","","0","",""
"2309-NODE/8188018841","","Boujarrah","35.585008","-5.35418","","","0","","","","0","",""
"2309-NODE/8197637228","","Faculté Ossoul-Eddine","35.580525","-5.336839","","","0","","","","0","",""
"2309-NODE/8191355112","","Ecole Mohamed Aziman","35.586249","-5.337375","","","0","","","","0","",""
"2309-NODE/6904040671","","Cité Universitaire","35.59609","-5.328517","","","0","","","","0","",""
"2309-NODE/6898280162","","Usine De Carreaux","35.573984","-5.466697","","","0","","","","0","",""
"2309-NODE/8191355113","","Mosquée Mohammed Vi","35.587419","-5.337775","","","0","","","","0","",""
"2309-NODE/6907371725","","Résidence El Manar","35.577954","-5.350706","","","0","","","","0","",""
"2309-NODE/8191355110","","Café Warda","35.583036","-5.343888","","","0","","","","0","",""
"2309-NODE/8171441769","","Café El Mrabet","35.414368","-5.384466","","","0","","","","0","",""
"2309-NODE/8171441768","","Jamae","35.33264","-5.36049","","","0","","","","0","",""
"2309-NODE/8171441767","","El Harcha","35.561124","-5.473662","","","0","","","","0","",""
"2309-NODE/8171441766","","Zone Industrielle","35.600822","-5.304363","","","0","","","","0","",""
"2309-NODE/8171441765","","Ksar El Khalifa","35.583897","-5.365275","","","0","","","","0","",""
"2309-NODE/8171441764","","Boujarrah 2","35.591486","-5.35365","","","0","","","","0","",""
"2309-NODE/8171441763","","Jamae","35.660093","-5.318609","","","0","","","","0","",""
